2022-11-08 18:50:39+00:00,VassilisNalba,Ελλάς,Δημοτική Ενότητα Θεσαλονίκης,Περιφέρεια Κεντρικής Μακεδονίας,ΣΥΡΙΖΑ,έχω έναν φίλο που ζει στην τουρκία. έχει έναν ξάδερφο που γνωρίζει έναν αστυνομικό και δουλεύει σε υπηρεσία ασφαλείας.,Neutral
2022-11-08 18:48:04+00:00,AXristodoulidou,Ελλάς,Αθήνα,Περιφέρεια Αττικής,ΣΥΡΙΖΑ,ναι βλέπουμε πως αντιδρά το σύριζα. δεν ενδιαφέρεται για τίποτα.,Negative
2022-11-08 18:44:44+00:00,koskar2012,Ελλάς,Αποκεντρωμένη Διοίκηση Αττικής,Περιφέρεια Αττικής,ΣΥΡΙΖΑ,το χρώμα της δημοκρατίας είναι μπλε. το χρώμα ολοκληρωτικών φασιστικών καθεστώτων είναι κόκκινο.,Neutral
2022-11-08 18:44:36+00:00,DiVayena,Ελλάς,Αθήνα,Περιφέρεια Αττικής,ΣΥΡΙΖΑ,τρίτη φορά αποφεύγει να απαντήσει σε επίκαιρη ερώτηση αρχηγού αξιωματικής αντιπολίτευσης για τις υποκλοπές,Negative
2022-11-08 18:38:31+00:00,rockos13,Ελλάς,Ροβολιάρι,Περιφέρεια Στερεάς Ελλάδος,ΣΥΡΙΖΑ,είναι λυπηρό έτσι απλά λυπηρό!!,Negative
2022-11-08 18:50:39+00:00,NNtamagkas,Ελλάς,Λάρισα,Περιφέρεια Θεσσαλίας,ΣΥΡΙΖΑ,καταδικάζουμε επίθεση στο σπίτι του άδωνη γεωργιάδη. η ανακοίνωση του γραφείου τύπου του σύριζα για την επίθεση.,Neutral
2022-11-08 21:07:39+00:00,gsnavara,Ελλάς,Κυπαρίσσια,Περιφέρεια Θεσσαλίας,ΣΥΡΙΖΑ,"η αύξηση των επενδύσεων στην υποδομή, όπως στον τομέα των μεταφορών και των επικοινωνιών, μπορεί να βελτιώσει τη συνολική οικονομία ενός κράτους και να διευκολύνει την κυκλοφορία των αγαθών και των προσώπων.",Positive
2022-11-08 15:07:32+00:00,giwrgosdour,Ελλάς,Κοζάνη,Περιφέρεια Δυτικής Μακεδονίας,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,τρείς εικόνες νέα δημοκρατία και πράσινα άλογα,Negative
2022-11-08 15:23:39+00:00,dMVce1adjX430Ob,Ελλάς,Δημοτική Ενότητα Θεσαλονίκης,Περιφέρεια Κεντρικής Μακεδονίας,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,αυτό είναι αλήθεια ετοιμάζουν έκτακτο συνέδριο αλλαγής γεύσης,Neutral
2022-11-08 18:17:14+00:00,ZettaMakri,Ελλάς,Δήμος Βόλου,Περιφέρεια Θεσσαλίας,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,"το πολυτεχνείο ήταν μια κορυφαία στιγμή εθνικής ανάτασης, εκείνες οι 3 πυκνές με νόημα ημέρες σάρωσαν σαν κύμα.",Positive
2022-11-08 12:07:32+00:00,fmanikis,Ελλάς,Αποκεντρωμένη Διοίκηση Αττικής,Περιφέρεια Αττικής,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,η νέα δημοκρατία πρέπει να τοποθετηθεί εάν στηρίζει ξέπλυμα της χούντας.,Negative
2022-11-08 15:03:12+00:00,TPlatanias,Ελλάς,Δημοτική Ενότητα Αποδοτίας,Περιφέρεια Δυτικής Ελλάδας,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,"από όταν έγινε κυβέρνηση η νέα δημοκρατία σταμάτησαν επεισόδια για την επέτειο του πολυτεχνείου, τυχαίο δε νομίζω.",Positive
2022-11-08 15:07:32+00:00,ioanxatz,Ελλάς,Δημοτική Ενότητα Θεσαλονίκης,Περιφέρεια Κεντρικής Μακεδονίας,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,ψήφισε δεξιά για να γίνει η νέα δημοκρατία αυτοδύναμη. κόψτε τις μαλακίες.,Neutral
2022-11-08 15:07:32+00:00,stakon7,Ελλάς,Δημοτική Ενότητα Χολαργού,Περιφέρεια Αττικής,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,βαγγέλη τράβα από δω φίλε μου… μην ασχολείσαι με την νέα δημοκρατία,Neutral
2022-11-08 15:07:32+00:00,hifelic,Ελλάς,Δημοτική Ενότητα Θεσαλονίκης,Περιφέρεια Κεντρικής Μακεδονίας,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,"το πολυτεχνείο ζει, είναι φάρος στους σύγχρονους αγώνες μας, ένα κοινωνικό κράτος δημοκρατίας με ίσες ευκαιρίες για εργασία.",Positive
2022-11-08 13:07:38+00:00,ArmenakiKrystal,Ελλάς,Αλεξανέα δημοκρατίαρούπολη,Περιφέρεια Ανατολικής Μακεδονίας και Θράκης,ΝΕΑ ΔΗΜΟΚΡΑΤΙΑ,η νέα δημοκρατία μαζεύει τόσο κόσμο που ούτε ανακοινώνει τις 20 χιλιάδες προσλήψεις στις νοδε.,Neutral
2022-11-08 20:21:32+00:00,costasagg2,Ελλάς,Αθήνα,Περιφέρεια Αττικής,ΠΑΣΟΚ,Το πρόβλημα με το πασόκ είναι ότι το έχει αγοράσει ο πρεζέμπορας,Negative
2022-11-08 15:13:41+00:00,thrakitoday,Ελλάς,Ξάνθη,Περιφέρεια Ανατολικής Μακεδονίας και Θράκης,ΠΑΣΟΚ,με πασόκ ξάνθης η κυβέρνηση άφησε έξω από το πρόγραμμα εξοικονομώ και ανακαινίζω νέους στο δήμο μύκης σταυρούπολης,Negative
2022-11-08 15:07:32+00:00,presshub_gr,Ελλάς,Ροβολιάρι,Περιφέρεια Στερεάς Ελλάδος,ΠΑΣΟΚ,"με ένα κλικ, διαβάστε real news. δειτε τα παντα για το πασόκ και τη νέα δημοκρατία!!",Neutral
